                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.706,                 11.694,                0.66598,                 2.3633,                 2.3211,                0.94248,                      1,                  0.995,                0.87221,                      0,                      0,                      0,                      0,                0.69668,                 11.753,                0.62465,                 1.0197,                 1.4407,                0.00046,                0.00046,                0.00046
                      2,                0.42036,                 10.538,                0.45802,                 0.3089,                 1.1774,                0.96614,                      1,                0.99443,                 0.8752,                      0,                      0,                      0,                      0,                0.59673,                 11.857,                0.46659,                  1.191,                 1.2839,             0.00093814,             0.00093814,             0.00093814
                      3,                 0.3912,                 9.2461,                0.31649,                0.31041,                 1.1553,                0.94477,                0.97059,                0.99338,                0.89303,                      0,                      0,                      0,                      0,                0.53617,                 11.783,                0.32754,                0.62302,                 1.0397,              0.0014144,              0.0014144,              0.0014144
                      4,                0.36561,                 8.6099,                0.28903,                0.28508,                 1.1187,                0.80111,                0.91176,                0.94902,                0.72939,                0.03171,                0.05882,                0.00469,                0.00112,                0.88769,                 10.781,                0.27401,                 1.4537,                 1.7384,              0.0018887,              0.0018887,              0.0018887
                      5,                0.36852,                  7.521,                0.26671,                0.29217,                 1.1186,                      1,                0.99675,                  0.995,                0.89193,                      0,                      0,                      0,                      0,                0.52759,                  10.26,                0.84606,                0.46417,                0.98212,              0.0019842,              0.0019842,              0.0019842
                      6,                0.37424,                 6.3801,                0.23895,                0.29077,                 1.1105,                0.91794,                0.98719,                0.99161,                0.78107,                      0,                      0,                      0,                      0,                0.70481,                 10.022,                0.22496,                 1.0275,                  1.404,              0.0019802,              0.0019802,              0.0019802
                      7,                0.37573,                 5.4605,                0.22919,                0.27919,                 1.1232,                0.86801,                0.97059,                0.99112,                0.77545,                0.09306,                0.14706,                 0.0386,                0.00676,                0.68282,                 7.4495,                0.20203,                0.93512,                 1.2928,              0.0019762,              0.0019762,              0.0019762
                      8,                  0.348,                 4.9877,                0.22954,                0.26683,                 1.0856,                0.83425,                0.97059,                0.96432,                0.88323,                0.13026,                0.11765,                0.06192,                0.01413,                0.47395,                 7.1122,                0.20482,                0.75778,                 0.9198,              0.0019723,              0.0019723,              0.0019723
                      9,                0.29636,                 4.4427,                0.21703,                 0.2459,                 1.0402,                0.86462,                      1,                0.98017,                0.81886,                0.12523,                0.14706,                0.04894,                0.01101,                 0.6239,                 7.1016,                0.18743,                0.85536,                 1.1463,              0.0019683,              0.0019683,              0.0019683
                     10,                0.33677,                 4.6596,                0.21495,                0.26254,                 1.0715,                0.97914,                0.97059,                0.99389,                 0.8698,                0.11396,                0.20588,                0.05265,                0.01397,                0.60626,                 7.4307,                0.19979,                0.61591,                 1.0002,              0.0019644,              0.0019644,              0.0019644
                     11,                0.30984,                 3.7043,                0.21207,                0.24459,                   1.04,                0.96705,                      1,                0.99443,                0.87872,                0.51182,                0.52941,                0.48318,                0.13407,                0.61852,                 5.0713,                0.18461,                 0.5812,                 1.0131,              0.0019604,              0.0019604,              0.0019604
                     12,                0.31947,                 4.0972,                0.21289,                0.24294,                 1.0734,                0.96269,                      1,                  0.995,                0.86937,                0.41869,                0.44118,                0.23016,                0.05636,                0.59289,                 4.6561,                0.18543,                0.49155,                0.95501,              0.0019564,              0.0019564,              0.0019564
                     13,                0.29935,                 3.2296,                0.20418,                0.23815,                 1.0303,                0.99318,                      1,                  0.995,                0.95598,                0.73006,                0.73529,                0.57424,                0.16003,                0.38625,                 3.5197,                0.18041,                0.30435,                0.69411,              0.0019525,              0.0019525,              0.0019525
